20424297		3.17		3.35	25%
20608974		2.42059		2.77	31.3333%
20743491		2.86316		2.96471	37.3984%
23728116		2.73947		2.43077	36.6667%
23790324		2.3425		2.73333	40.2878%
23865858		2.64545		2.52	15.3846%
23867925		2.1087		1.23571	32.3699%
23905341		2.11515		1.88571	29.1391%
23911215		2.32069		2.9	25.641%
24020286		1.97778		1.32	19.4444%
24042009		2.32222		2.7	32.1429%
24101976		1.80833		1.55	21.4953%
24139845		3.11667		3.27143	64.8148%
24149133		1.75882		1.41429	30.1205%
24150987		3.45294		3.78333	30.7692%
24153687		2.84857		3.05882	33.8346%
24167304		2.23846		3.3	24.1379%
24223719		2.1381		2.66	15.9722%
24264243		2.8		3.9	16.6667%
24316872		2.1		3.35	8.8%
24439014		1.93784		1.875	16.7883%
24483387		2.25294		1.18571	13.6691%
24511194		3.7303		4	23.6486%
26713281		2.58286		2.5	32.5758%
29709645		2.22903		2.13333	34.5455%
29719407		2.27895		2.33077	64.7059%
29731155		1.78235		1.37857	43.75%
29778927		2.76364		3.05	47.2727%
29945214		3.13462		3.23636	40.7407%
29953572		2.60769		2.71667	12.234%
30031998		2.70667		2.73	63.9344%
30062082		3.54		3.9	60%
30075693		2.20556		1.4125	50%
30086757		2.51818		1.925	21.4689%
30154482		1.85833		-nan	0%
30157836		2.33415		3.19412	32.2981%
30186210		2.61875		3.52	17.7419%
30237975		2.79286		4	20.8955%
30262620		3.25333		3.45	54.2857%
30277227		3.45172		3.74	26.2712%
30354624		2.508		1.95	20.3125%
30363006		3.53846		3.45625	33.0827%
30392505		3.23571		3.24737	41.7266%
32710782		1.6		1.20909	25.2174%
32719917		3.07692		2.8375	31.746%
32720895		2.84516		2.725	36.3636%
32721057		2.40962		2.65	24.1758%
32772978		2.75676		2.51111	30.2703%
32774031		1.2129		1.11111	17.094%
32774853		2.08333		2.25	16.8675%
32777274		0.333333		-nan	0%
32794485		3.37647		2.97692	30.5556%
32804757		3.01111		2.64615	37.0079%
32813085		3.17		3.27273	37.6812%
32816337		2.22903		2.11667	27.1186%
32824353		1.31351		2.4	10.6061%
32825070		2.74583		2.725	23.8342%
32825472		2.12941		2.07778	26.7176%
32845683		3.02		2.74167	33.8235%
32846577		1.86207		1.58	54.5455%
32866710		2.24054		1.91053	41.0256%
32884179		2.3		2.42857	40.7407%
32892738		3.225		3.86	41.8182%
32896608		2.4		2.50556	31.0345%
32900589		3.04103		3.09	26.4286%
32917632		2.945		2.875	41.5385%
32921811		2.53462		3	14.4144%
32934609		1.96279		1.75789	41.048%
32954001		3.5		3.66667	36.8056%
32973030		2.95833		3.57143	38.9313%
32976360		3.81463		3.95714	31.5068%
32977911		1.85		-nan	0%
32981745		3.0425		3.12727	32.5153%
33021759		2.06		-nan	16.6667%
33030645		2.93333		3.07692	32.5967%
33050361		3.01429		3.7	44.4444%
33052146		2.2119		2.47692	24.6988%
33066345		2.57368		1.24	26.7176%
33081189		2.71053		3.04375	44.1379%
33087345		2.92917		2.95	41.5094%
33100893		2.34		3.23333	35.4839%
33112389		1.79697		1.5375	22.8346%
33149859		1.97442		1.65	48.8636%
33172179		2.32		2.25556	39%
33175752		1.74783		2.24	40.3361%
33184602		2.16154		2.96429	28.2051%
33191853		0		-nan	0%
33197310		2.65		3.425	25.4545%
33203286		3.04706		3.55	21.2766%
33219444		1.85098		2.0375	38.2979%
33230262		3.85185		4	38.0435%
33232998		2.97692		3.225	83.3333%
33250398		2.82143		3.25	10.4167%
33250680		2.51875		1.88889	49.0566%
33269127		2.35667		2.575	13.1148%
33273549		3		3.05	11.3636%
33277128		3.35		3.0875	38.6792%
33285270		3.65556		3.73125	39.2%
33289524		3.15116		3.61667	20.7547%
33293280		2.57273		2.18182	27.7372%
33294789		2.27727		1.95556	50%
33298995		3.22895		3.26429	26.4516%
33300546		2.68462		3.1	12.9032%
33312129		2.35455		2.61429	70%
33334074		1.75278		0.975	24.6479%
33347949		1.54091		2.2	10.0917%
33397527		2.11818		2.14211	34.3195%
33401898		3.5		3.6	33.5878%
33414369		2.43333		2.13077	35.2564%
33421635		2.85122		2.48824	36.6013%
33422331		2.33333		2.87778	18.8406%
33425817		3.30645		3.49091	39.7059%
33449292		2.15		1.93636	29.0076%
33492882		2.83333		2.85556	34.1667%
33493158		3.625		3.94	28.2609%
33511539		2.76429		2.96667	47.541%
33512946		0		-nan	0%
33518511		1.87843		1.508	40.4494%
33518856		2.40345		2.52143	40.1515%
33520122		1.52174		1.325	10.2564%
33534054		2.75625		2.82222	23.2759%
33547746		2.11111		2	24.3478%
33572877		3.36667		3.76364	31.7829%
33573645		2.0375		1.25	22.6415%
33574794		2.82745		2.92353	32.8431%
33596388		2.84		2.8	37.1795%
33596715		2.7625		2.575	8.19672%
33623466		1.96471		1.5	34.7826%
33625476		2.35909		2.49167	59.5238%
33647505		1.81389		2.04	22.695%
33659679		1.74146		0.284615	30.1205%
33669720		1.894		1.16087	35.3211%
33683862		2.90571		3.35	21.6418%
33689394		2.46		3.1	60%
33701028		3.40909		2.96364	39.5604%
33725490		3.294		3.42667	32.2176%
33727443		2.33333		1.3	20%
33746307		3.44412		3.6	20.6522%
33753099		1.89783		1.58	33.6842%
33753504		2.35		1.25	26.1111%
33758814		2.3303		2.32941	39.8148%
33805590		2.94565		3.07647	33.3333%
33822603		2.66111		2.54444	46.25%
33846984		2.34286		1.85714	23.5294%
33870945		2.74444		3.11667	58.6207%
33880464		2.27857		2.56	62.069%
33893088		2.59231		3.33333	35.7143%
33894834		3.26316		3.66	11.7647%
33895182		3.70541		3.85	21.3198%
33897642		3.25102		3.42143	31.25%
56701704		2.43077		2.61429	50%
56707587		2.5381		3.675	10.8108%
56718072		2.63333		2.63571	46.2264%
56741838		3.3		3.57222	35.1145%
56744601		3.22		3.48462	33.1081%
56749962		3.66829		3.66429	27.8912%
56750529		1.75952		1.19412	38.3721%
56758065		3.12973		2.75714	46.5517%
56758125		3.49744		3.76429	31.2977%
56759664		3.1825		3.075	32.0896%
56762319		3.33939		2.98889	25%
56766210		3.22045		3.75455	36.6864%
56769438		2.96842		3	31.5068%
56776479		2.82683		2.34667	37.1795%
56777232		3.33846		3.32857	33.7662%
56778306		1.86176		1.09091	24.2424%
56779437		2.01026		2.06842	38.1295%
56780490		3.47692		3.41111	29.4872%
56813157		3.38846		3.76667	24.0964%
56966526		3.10909		3.075	13.253%
57028968		2.61		2.9	15.625%
57029172		2.70889		2.53636	27.7487%
57050757		3.27273		-nan	20%
57052884		3.05		3.6	17.3913%
57056811		2.71667		4	34.7826%
